Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name,Platform,Genre,Publisher
82,2012.0,2.91,1.86,3.14,0.43,8.33,pokemonblack2pokemonwhite2,ds,roleplaying,nintendo
83,2012.0,1.06,5.05,0.13,2.01,8.24,fifasoccer13,ps3,action,electronicarts
84,2009.0,0.98,6.42,0.0,0.71,8.11,thesims3,pc,simulation,electronicarts
85,1997.0,5.8,2.01,0.13,0.15,8.09,goldeneye007,n64,shooter,nintendo
86,2007.0,2.58,3.9,0.66,0.91,8.06,mariosonicattheolympicgames,wii,sports,sega
87,2001.0,2.91,2.07,2.73,0.33,8.05,finalfantasyx,ps2,roleplaying,sonycomputerentertainment
88,1999.0,2.28,1.72,3.63,0.23,7.86,finalfantasyviii,ps,roleplaying,squaresoft
89,2008.0,2.82,1.78,2.69,0.55,7.84,pokmonplatinumversion,ds,roleplaying,nintendo
90,1982.0,7.28,0.45,0.0,0.08,7.81,pacman,2600,puzzle,atari
91,2005.0,2.9,2.83,0.24,1.75,7.72,grandtheftautolibertycitystories,psp,action,taketwointeractive
92,2010.0,3.66,2.42,0.98,0.64,7.69,supermariogalaxy2,wii,platform,nintendo
93,2015.0,2.93,3.29,0.22,1.23,7.67,starwarsbattlefront2015,ps4,shooter,electronicarts
94,2014.0,2.8,3.3,0.14,1.37,7.6,callofdutyadvancedwarfare,ps4,shooter,activision
95,1998.0,4.1,1.89,1.45,0.16,7.6,thelegendofzeldaocarinaoftime,n64,action,nintendo
96,1997.0,3.78,2.17,1.31,0.31,7.58,crashbandicoot2cortexstrikesback,ps,platform,sonycomputerentertainment
97,1988.0,5.39,1.18,0.7,0.19,7.46,supermariobros2,nes,platform,nintendo
98,2014.0,3.24,1.35,2.42,0.43,7.45,supersmashbrosforwiiuand3ds,3ds,fighting,nintendo
99,2008.0,4.79,1.9,0.0,0.69,7.37,callofdutyworldatwar,x360,shooter,activision
100,2011.0,4.46,2.13,0.06,0.69,7.34,battlefield3,x360,shooter,electronicarts
101,2006.0,3.83,2.19,0.6,0.7,7.31,thelegendofzeldatwilightprincess,wii,action,nintendo
102,2015.0,4.52,2.09,0.01,0.67,7.3,callofdutyblackops3,xone,shooter,activision
103,2009.0,3.51,3.03,0.0,0.73,7.27,justdance,wii,misc,ubisoft
104,2011.0,2.85,2.93,0.35,1.1,7.23,battlefield3,ps3,shooter,electronicarts
105,2003.0,3.27,2.83,0.08,1.02,7.2,needforspeedunderground,ps2,racing,electronicarts
106,1998.0,3.27,2.22,1.4,0.29,7.16,tekken3,ps,fighting,sonycomputerentertainment
107,1998.0,3.68,1.75,1.42,0.28,7.13,crashbandicoot3warped,ps,platform,sonycomputerentertainment
108,2001.0,4.41,1.04,1.39,0.22,7.07,supersmashbrosmelee,gc,fighting,nintendo
109,2014.0,3.13,2.07,1.27,0.49,6.96,mariokart8,wiiu,racing,nintendo
110,2015.0,2.47,3.15,0.24,1.1,6.96,fallout4,ps4,roleplaying,bethesdasoftworks
111,2003.0,4.12,1.77,0.87,0.19,6.95,mariokartdoubledash,gc,racing,nintendo
112,2012.0,4.14,2.21,0.0,0.56,6.91,justdance4,wii,misc,ubisoft
113,2013.0,0.78,4.32,0.07,1.73,6.9,fifa14,ps3,sports,electronicarts
114,2004.0,2.71,3.02,0.08,1.09,6.9,needforspeedunderground2,ps2,racing,electronicarts
115,2002.0,2.93,2.75,0.17,0.99,6.83,medalofhonorfrontline,ps2,shooter,electronicarts
116,2011.0,2.77,2.8,0.19,1.06,6.83,uncharted3drakesdeception,ps3,action,sonycomputerentertainment
117,1996.0,3.23,2.35,0.94,0.3,6.82,crashbandicoot,ps,platform,sonycomputerentertainment
118,2010.0,3.5,2.64,0.0,0.67,6.81,zumbafitness,wii,sports,505games
119,2008.0,4.15,1.92,0.06,0.64,6.76,gearsofwar2,x360,shooter,microsoftgamestudios
120,2009.0,3.27,2.25,0.21,1.0,6.73,uncharted2amongthieves,ps3,action,sonycomputerentertainment
121,2007.0,3.1,2.3,0.28,1.04,6.72,callofduty4modernwarfare,ps3,shooter,activision
122,2011.0,0.84,4.32,0.11,1.42,6.69,fifa12,ps3,sports,electronicarts
123,2005.0,1.67,2.78,1.6,0.62,6.67,bigbrainacademy,ds,misc,nintendo
124,2010.0,2.79,2.61,0.17,1.03,6.6,reddeadredemption,ps3,action,taketwointeractive
125,2014.0,0.79,4.29,0.05,1.47,6.59,fifa15,ps4,sports,electronicarts
126,2010.0,3.25,1.84,1.03,0.47,6.59,donkeykongcountryreturns,wii,platform,nintendo
127,2011.0,2.55,2.71,0.25,1.05,6.56,theelderscrollsvskyrim,ps3,roleplaying,bethesdasoftworks
128,1986.0,3.74,0.93,1.69,0.14,6.51,thelegendofzelda,nes,action,nintendo
129,2012.0,2.64,2.56,0.16,1.14,6.5,assassinscreediii,ps3,action,ubisoft
130,2001.0,4.98,1.3,0.08,0.07,6.43,halocombatevolved,xb,shooter,microsoftgamestudios
131,2004.0,2.57,1.58,2.06,0.21,6.41,pokmonemeraldversion,gba,roleplaying,nintendo
132,2002.0,3.64,1.2,1.49,0.07,6.4,kingdomhearts,ps2,roleplaying,sonycomputerentertainment
133,2000.0,2.55,1.56,1.29,0.99,6.39,pokmoncrystalversion,gb,roleplaying,nintendo
134,2009.0,4.34,1.35,0.06,0.61,6.36,halo3odst,x360,shooter,microsoftgamestudios
135,2010.0,3.7,1.97,0.09,0.57,6.34,reddeadredemption,x360,action,taketwointeractive
136,2002.0,4.01,1.26,0.87,0.17,6.31,supermariosunshine,gc,platform,nintendo
137,1992.0,2.47,0.83,2.87,0.12,6.3,streetfighteriitheworldwarrior,snes,fighting,capcom
138,2004.0,0.07,6.21,0.0,0.0,6.28,worldofwarcraft,pc,roleplaying,activision
139,1999.0,3.11,2.8,0.02,0.33,6.27,driver,ps,action,gtinteractive
140,2010.0,3.92,1.78,0.03,0.51,6.24,kinectsports,x360,sports,microsoftgamestudios
141,2011.0,4.05,1.62,0.07,0.49,6.24,gearsofwar3,x360,shooter,microsoftgamestudios
142,2006.0,3.54,1.9,0.07,0.6,6.11,gearsofwar,x360,shooter,microsoftgamestudios
143,2001.0,2.45,2.01,0.87,0.72,6.05,metalgearsolid2sonsofliberty,ps2,action,konamidigitalentertainment
144,1992.0,4.47,1.2,0.16,0.19,6.03,sonicthehedgehog2,gen,platform,sega
145,2008.0,2.63,1.74,0.83,0.83,6.03,metalgearsolid4gunsofthepatriots,ps3,action,konamidigitalentertainment
146,1998.0,3.18,1.83,0.78,0.24,6.03,metalgearsolid,ps,action,konamidigitalentertainment
147,2013.0,2.41,2.28,0.28,1.01,5.99,thelastofus,ps3,action,sonycomputerentertainmenteurope
148,2006.0,1.88,0.0,2.33,1.74,5.95,finalfantasyxii,ps2,roleplaying,squareenix
149,2008.0,2.8,2.05,0.17,0.9,5.92,littlebigplanet,ps3,platform,sonycomputerentertainment
150,2009.0,0.66,0.69,4.35,0.15,5.84,dragonquestixsentinelsofthestarryskies,ds,roleplaying,nintendo
151,2007.0,3.66,1.63,0.0,0.53,5.83,legostarwarsthecompletesaga,wii,action,lucasarts
152,1998.0,1.88,1.47,2.02,0.45,5.82,residentevil2,ps,action,virgininteractive
153,1996.0,2.26,1.89,1.36,0.23,5.74,tekken2,ps,fighting,sonycomputerentertainment
154,2006.0,3.13,1.94,0.07,0.58,5.72,cookingmama,ds,simulation,505games
155,2014.0,2.49,2.05,0.16,0.96,5.65,destiny,ps4,shooter,activision
156,1988.0,2.97,0.69,1.81,0.11,5.58,tetris,nes,puzzle,nintendo
157,2009.0,2.54,1.95,0.21,0.87,5.57,assassinscreedii,ps3,action,ubisoft
158,1999.0,2.95,0.6,1.97,0.04,5.55,supersmashbros,n64,fighting,nintendo
159,2007.0,3.28,1.65,0.07,0.55,5.55,assassinscreed,x360,adventure,ubisoft
160,2011.0,2.7,1.91,0.11,0.8,5.53,batmanarkhamcity,ps3,action,warnerbrosinteractiveentertainment
161,2009.0,2.99,1.92,0.1,0.51,5.51,forzamotorsport3,x360,racing,microsoftgamestudios
162,2008.0,0.47,0.57,4.13,0.34,5.5,monsterhunterfreedomunite,psp,roleplaying,capcom
163,2001.0,3.14,1.24,0.91,0.2,5.49,supermarioadvance,gba,platform,nintendo
164,2001.0,2.62,1.64,0.99,0.23,5.47,mariokartsupercircuit,gba,racing,nintendo
165,2001.0,3.21,1.11,0.95,0.2,5.46,supermarioworld,gba,platform,nintendo
166,1999.0,3.18,1.24,0.94,0.09,5.45,pokemonstadium,n64,strategy,nintendo
167,2008.0,2.72,1.87,0.0,0.84,5.43,callofdutyworldatwar,ps3,shooter,activision
168,2001.0,2.07,2.29,0.24,0.82,5.42,crashbandicootthewrathofcortex,ps2,platform,universalinteractive
169,2014.0,1.97,2.51,0.0,0.94,5.42,minecraft,ps3,misc,sonycomputerentertainment
170,2009.0,1.74,1.24,1.87,0.52,5.36,finalfantasyxiii,ps3,roleplaying,squareenix
171,1989.0,2.18,0.96,2.0,0.2,5.34,drmario,gb,puzzle,nintendo
172,1999.0,3.02,1.12,1.01,0.16,5.31,pokemonpinball,gb,misc,nintendo
173,2012.0,3.13,1.71,0.03,0.44,5.3,assassinscreediii,x360,action,ubisoft
174,2000.0,1.62,0.77,2.78,0.14,5.3,finalfantasyix,ps,roleplaying,squaresoft
175,2003.0,1.92,1.08,2.11,0.17,5.29,finalfantasyx2,ps2,roleplaying,electronicarts
176,1999.0,3.33,0.79,1.09,0.06,5.27,donkeykong64,n64,platform,nintendo
177,2009.0,3.1,1.56,0.08,0.51,5.27,assassinscreedii,x360,action,ubisoft
178,2007.0,1.22,2.48,1.03,0.52,5.26,professorlaytonandthecuriousvillage,ds,puzzle,nintendo
179,1997.0,2.3,2.46,0.2,0.28,5.24,tombraiderii,ps,action,eidosinteractive
180,2007.0,4.26,0.26,0.01,0.71,5.23,maddennfl2004,ps2,sports,electronicarts
181,2004.0,0.65,0.75,3.61,0.2,5.21,dragonquestviiijourneyofthecursedking,ps2,roleplaying,squareenix
182,2012.0,2.43,2.15,0.0,0.62,5.2,diabloiii,pc,roleplaying,activision
183,2003.0,2.93,1.25,0.83,0.2,5.2,supermariobros3,gba,platform,nintendo
184,2012.0,2.32,1.3,1.27,0.31,5.19,newsupermariobrosu,wiiu,platform,nintendo
185,1994.0,2.49,0.98,1.57,0.15,5.19,supermarioland3warioland,gb,platform,nintendo
186,2012.0,1.08,3.48,0.03,0.58,5.18,fifasoccer13,x360,action,electronicarts
187,2007.0,1.9,1.83,0.95,0.49,5.17,thelegendofzeldaphantomhourglass,ds,action,nintendo
188,1995.0,2.1,0.74,2.2,0.11,5.15,donkeykongcountry2diddyskongquest,snes,platform,nintendo
189,2013.0,0.96,2.02,1.89,0.28,5.15,tomodachilife,3ds,simulation,nintendo
190,2008.0,1.64,2.48,0.44,0.58,5.14,mariosonicattheolympicgames,ds,sports,sega
191,2003.0,1.98,2.23,0.13,0.8,5.13,medalofhonorrisingsun,ps2,shooter,electronicarts
192,1992.0,2.71,0.61,1.7,0.11,5.13,kirbysdreamland,gb,platform,nintendo
193,2010.0,3.59,1.11,0.05,0.38,5.13,fableiii,x360,roleplaying,microsoftgamestudios
194,2014.0,3.21,1.53,0.01,0.38,5.13,callofdutyadvancedwarfare,xone,shooter,activision
195,1996.0,3.22,1.69,0.0,0.2,5.12,microsoftflightsimulator,pc,simulation,microsoftgamestudios
196,2006.0,3.81,0.63,0.0,0.68,5.12,guitarheroii,ps2,misc,redoctane
197,2009.0,1.96,1.43,1.08,0.65,5.11,residentevil5,ps3,action,capcom
198,2014.0,2.66,2.01,0.0,0.41,5.08,grandtheftautov,xone,action,taketwointeractive
199,2006.0,1.7,2.02,0.16,1.21,5.08,grandtheftautovicecitystories,psp,action,taketwointeractive
200,2010.0,0.6,3.29,0.06,1.13,5.08,fifasoccer11,ps3,sports,electronicarts
201,1999.0,3.4,1.3,0.15,0.22,5.07,supermariobros,gb,platform,nintendo
202,1996.0,2.05,1.16,1.11,0.73,5.05,residentevil,ps,action,virgininteractive
203,1999.0,3.42,1.38,0.02,0.2,5.02,tonyhawksproskater,ps,sports,activision
204,2014.0,2.59,1.06,0.8,0.57,5.02,supersmashbrosforwiiuand3ds,wiiu,fighting,nintendo
205,1999.0,2.79,1.89,0.0,0.33,5.01,warzone2100,ps,strategy,eidosinteractive
206,1998.0,3.36,1.36,0.07,0.21,5.0,spyrothedragon,ps,platform,sonycomputerentertainment
207,2007.0,3.06,1.18,0.29,0.46,5.0,linkscrossbowtraining,wii,shooter,nintendo
208,2007.0,3.49,0.01,0.01,1.48,4.98,guitarheroiiilegendsofrock,ps2,misc,activision
209,2008.0,3.39,1.03,0.09,0.44,4.96,fallout3,x360,roleplaying,bethesdasoftworks
210,2007.0,1.85,1.2,1.54,0.37,4.96,pokemonmysterydungeonexplorersoftimeexplorersofdarkness,ds,roleplaying,nintendo
211,2007.0,2.31,1.73,0.12,0.78,4.94,uncharteddrakesfortune,ps3,action,sonycomputerentertainment
212,2005.0,3.98,0.26,0.01,0.66,4.91,maddennfl06,ps2,sports,electronicarts
213,2007.0,2.89,1.54,0.0,0.46,4.9,legostarwarsthecompletesaga,ds,action,lucasarts
214,1997.0,2.91,0.99,0.89,0.1,4.88,diddykongracing,n64,racing,nintendo
215,2010.0,0.0,0.0,4.87,0.0,4.87,monsterhunterfreedom3,psp,roleplaying,capcom
216,1990.0,2.62,0.6,1.52,0.1,4.85,drmario,nes,puzzle,nintendo
217,2010.0,2.74,1.36,0.12,0.63,4.84,godofwariii,ps3,action,sonycomputerentertainment
218,2010.0,2.56,1.68,0.0,0.59,4.83,starcraftiiwingsofliberty,pc,strategy,activision
219,2007.0,1.91,2.0,0.09,0.83,4.83,assassinscreed,ps3,adventure,ubisoft
220,2014.0,0.57,3.14,0.04,1.07,4.82,fifa15,ps3,sports,electronicarts
221,1999.0,2.57,1.57,0.44,0.21,4.79,crashteamracing,ps,racing,sonycomputerentertainment
222,2016.0,0.28,3.75,0.06,0.69,4.77,fifa17,ps4,sports,electronicarts
223,2011.0,2.99,1.31,0.04,0.41,4.76,batmanarkhamcity,x360,action,warnerbrosinteractiveentertainment
224,2000.0,2.36,2.1,0.02,0.25,4.73,driver2,ps,action,atari
225,2003.0,1.73,2.19,0.0,0.79,4.7,thesimpsonshitrun,ps2,racing,vivendigames
226,2000.0,3.05,1.41,0.02,0.2,4.68,tonyhawksproskater2,ps,sports,activision
227,2008.0,1.87,1.12,1.32,0.37,4.68,animalcrossingcityfolk,wii,simulation,nintendo
228,2002.0,1.94,1.95,0.08,0.7,4.67,thelordoftheringsthetwotowers,ps2,action,electronicarts
229,2011.0,2.08,2.04,0.06,0.47,4.64,forzamotorsport4,x360,racing,microsoftgamestudios
230,1996.0,2.29,1.97,0.13,0.24,4.63,tombraider,ps,action,eidosinteractive
231,2007.0,3.06,1.12,0.0,0.44,4.62,guitarheroiiilegendsofrock,wii,misc,activision
232,1991.0,2.42,0.91,1.15,0.13,4.61,thelegendofzeldaalinktothepast,snes,action,nintendo
233,2002.0,2.6,0.99,0.89,0.13,4.6,thelegendofzeldathewindwaker,gc,action,nintendo
234,2009.0,1.89,1.99,0.22,0.48,4.58,mariosonicattheolympicwintergames,wii,sports,sega
235,2013.0,1.78,1.39,1.1,0.3,4.58,luigismansiondarkmoon,3ds,action,nintendo
236,2015.0,1.55,1.15,1.44,0.43,4.57,splatoon,wiiu,shooter,nintendo
237,2014.0,1.78,1.87,0.07,0.82,4.55,thelastofus,ps4,action,sonycomputerentertainment
238,2007.0,3.19,0.92,0.01,0.42,4.53,guitarheroiiilegendsofrock,x360,misc,activision
239,2004.0,4.18,0.26,0.01,0.08,4.53,maddennfl2005,ps2,sports,electronicarts
240,1981.0,4.21,0.24,0.0,0.05,4.5,pitfall,2600,platform,activision
241,2006.0,3.63,0.24,0.01,0.61,4.49,maddennfl07,ps2,sports,electronicarts
242,2002.0,2.71,1.51,0.03,0.23,4.48,spidermanthemovie,ps2,action,activision
243,2000.0,0.2,0.14,4.1,0.02,4.47,dragonquestviiwarriorsofeden,ps,roleplaying,enixcorporation
244,2015.0,1.96,1.69,0.08,0.74,4.47,unchartedthenathandrakecollection,ps4,action,sonycomputerentertainment
245,2014.0,1.54,1.94,0.19,0.77,4.45,callofdutyadvancedwarfare,ps3,shooter,activision
246,2005.0,2.71,1.29,0.02,0.43,4.45,godofwar,ps2,action,sonycomputerentertainment
247,2012.0,2.55,1.11,0.46,0.33,4.44,nintendoland,wiiu,misc,nintendo
248,2010.0,2.67,1.35,0.01,0.39,4.42,michaeljacksontheexperience,wii,misc,ubisoft
249,2001.0,2.66,1.29,0.01,0.46,4.41,tonyhawksproskater3,ps2,sports,activision
250,2006.0,0.1,2.39,1.05,0.86,4.39,winningelevenproevolutionsoccer2007,ps2,sports,konamidigitalentertainment
251,2006.0,2.82,1.05,0.13,0.4,4.39,theelderscrollsivoblivion,x360,roleplaying,taketwointeractive
252,1987.0,2.19,0.5,1.61,0.08,4.38,zeldaiitheadventureoflink,nes,adventure,nintendo
253,2005.0,2.03,1.79,0.08,0.47,4.37,needforspeedmostwanted,ps2,racing,electronicarts
254,2006.0,1.73,1.73,0.14,0.75,4.35,resistancefallofman,ps3,shooter,sonycomputerentertainment
255,1991.0,3.03,0.91,0.26,0.13,4.34,sonicthehedgehog,gen,platform,sega
256,2005.0,2.2,0.58,1.38,0.17,4.33,kingdomheartsii,ps2,roleplaying,squareenix
257,2013.0,0.92,2.93,0.01,0.46,4.31,fifa14,x360,sports,electronicarts
258,2014.0,2.75,1.18,0.0,0.37,4.31,callofdutyadvancedwarfare,x360,shooter,activision
259,1980.0,4.0,0.26,0.0,0.05,4.31,asteroids,2600,shooter,atari
260,2008.0,2.51,1.27,0.11,0.41,4.31,fableii,x360,roleplaying,microsoftgamestudios
261,2015.0,2.64,1.2,0.03,0.39,4.26,halo5guardians,xone,shooter,microsoftgamestudios
262,2013.0,2.11,1.11,0.72,0.3,4.25,supermario3dworld,wiiu,platform,nintendo
263,2009.0,2.23,1.34,0.07,0.61,4.25,batmanarkhamasylum,ps3,action,eidosinteractive
264,2011.0,1.41,2.02,0.1,0.72,4.24,assassinscreedrevelations,ps3,action,ubisoft
265,2001.0,3.0,1.11,0.05,0.07,4.24,namcomuseum,gba,misc,namcobandaigames
266,2004.0,1.46,0.0,0.83,1.93,4.23,metalgearsolid3snakeeater,ps2,action,konamidigitalentertainment
267,2006.0,2.45,1.02,0.0,0.75,4.22,daxter,psp,platform,sonycomputerentertainment
268,1995.0,1.7,2.27,0.0,0.23,4.21,warcraftiitidesofdarkness,pc,strategy,activision
269,2011.0,2.03,1.27,0.62,0.3,4.21,thelegendofzeldaocarinaoftime,3ds,action,nintendo
270,2005.0,0.78,2.55,0.04,0.84,4.21,fifasoccer06,ps2,sports,electronicarts
271,2003.0,0.88,2.3,0.2,0.83,4.2,eyetoyplay,ps2,misc,sonycomputerentertainment
272,2016.0,1.3,2.07,0.18,0.65,4.2,uncharted4athiefsend,ps4,shooter,sonycomputerentertainment
273,2007.0,1.28,1.83,0.57,0.53,4.2,granturismo5prologue,ps3,racing,sonycomputerentertainment
274,2011.0,2.25,1.47,0.04,0.43,4.19,assassinscreedrevelations,x360,action,ubisoft
275,2009.0,2.02,1.06,0.58,0.53,4.19,streetfighteriv,ps3,fighting,capcom
276,2011.0,0.84,2.79,0.02,0.53,4.19,fifa12,x360,sports,electronicarts
277,1989.0,3.38,0.44,0.31,0.04,4.17,teenagemutantninjaturtles,nes,action,palcom
278,1984.0,2.04,0.48,1.57,0.07,4.16,excitebike,nes,racing,nintendo
279,1997.0,3.79,0.27,0.0,0.11,4.16,frogger,ps,action,hasbrointeractive
